ipc_general,ipc_subyacente,ipc_alimentos,fecha,año,mes
0.170295685735701,0.00405343326364293,0.366849298382013,2015-01-01,2015,1
0.30346893023652,0.156816381282817,0.476234173136799,2015-02-01,2015,2
0.764664131404038,0.907833808871518,0.596538123068542,2015-03-01,2015,3
0.390506491415774,0.343817808201413,0.445503289630154,2015-04-01,2015,4
0.564365427803757,0.247164855951675,0.937632688290169,2015-05-01,2015,5
0.332341348473706,0.258578935277865,0.418547853077319,2015-06-01,2015,6
0.450786388967827,0.590389696056041,0.2878911926585,2015-07-01,2015,7
0.377226121085694,0.0859110242919715,0.718170518108235,2015-08-01,2015,8
0.0275381794493309,0.0572563098587256,-0.00702447051726105,2015-09-01,2015,9
0.142799384312569,0.138858330683572,0.147385819185382,2015-10-01,2015,10
0.344071735952856,0.122041455882928,0.602440552051882,2015-11-01,2015,11
0.445721499061671,0.52591088356286,0.352853564276601,2015-12-01,2015,12
0.37252021115541,-0.066478259255038,0.881804469100947,2016-01-01,2016,1
0.174091242706681,0.520000221734542,-0.223427362007696,2016-02-01,2016,2
0.598118099213,0.704591386340362,0.474847307507279,2016-03-01,2016,3
0.0114065609758854,0.0264698376241936,-0.00607301495820004,2016-04-01,2016,4
0.209563738332199,0.322643170344667,0.0783025367110874,2016-05-01,2016,5
0.139508528737671,0.208217681152493,0.059557071510608,2016-06-01,2016,6
0.081747041914584,0.189308865178109,-0.0436001789808053,2016-07-01,2016,7
0.358285853821853,0.171742661909714,0.576180587120632,2016-08-01,2016,8
0.206464092392192,0.110910904298273,0.317627691971623,2016-09-01,2016,9
0.413354520523768,0.124304134534486,0.748933796523645,2016-10-01,2016,10
0.290064059118052,0.145096948475789,0.457323297179475,2016-11-01,2016,11
0.33419524609934,0.376114258187957,0.285980513860032,2016-12-01,2016,12
0.237843060107308,0.0422498334720511,0.463014178910765,2017-01-01,2017,1
0.323171371975582,0.139998912646009,0.533160251787432,2017-02-01,2017,2
